State,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
2004-05,15845,576,4516,5416,2544,598,10598,3035,2242,2939,3217,9315,3106,11386,21622,949,474,423,591,3513,3796,9001,438,12625,0,802,14514,1330,5348,7047,0
2005-06,13391,769,1551,4812,2268,658,8769,2190,2120,3743,3661,6932,2691,8412,16397,738,333,584,748,2143,2244,5721,378,6736,0,910,13222,2053,9471,4626,379
2006-07,15210,889,2028,6551,3188,708,9968,3276,2447,3806,4492,10649,2335,7854,14456,1211,413,578,863,3574,7753,6902,366,12882,0,819,19284,2039,7042,5211,460
2007-08,20892,809,2406,8008,4189,781,9142,4553,2322,5361,5264,10656,3801,9664,15460,1427,517,651,991,5121,3458,8630,471,12773,0,1041,22081,2720,8330,8389,387
2008-09,18949.67,1400.91,3242.55,8669.68,3920.27,1092.02,13155.97,5833.44,3054.22,6303.03,5162.26,12379.53,4329.62,10516.38,23374.57,1781.5,749.94,554.74,1059.93,5482.74,4216.72,8672.64,688.3,14132.83,0,1381.59,28429.22,2493.43,9319.79,8598.75,386.13
2009-10,21626.86,1537.88,3736.12,10211.86,4293.28,1296.97,11696.95,7304.55,2879.91,7418.63,5485.56,15426.59,4701.12,14135.55,22515.13,1711.42,650.98,826.33,1267.68,5249.05,3900.01,8617.61,771.79,13354.98,0,1543.72,31741.7,2639.66,9634.16,11025.04,502.35
2010-11,22101.38,1834.88,2995.15,12488.6,4208.93,1445.11,14166.61,6124.05,2885.19,7102.11,6259.46,17900.24,6100.45,15043.59,23696.05,2036.88,757.47,739.06,1388.22,6683.37,4162.85,8829.97,530.05,17965.44,0,1264.99,26910.22,2388.89,8423.98,11142.59,520.81
2011-12,25466.19,2247.31,3740.37,13680.55,6092.65,1471.49,19669.73,7736.54,3430.54,7175.75,5015.49,20641.09,7744.52,27965.25,25174.18,1857.42,1110.25,762.45,1572.81,7444.87,3765,11718.77,713.59,25627.23,0,1628.67,29827.14,3257.03,10504.51,8437.57,533.78
2012-13,26738.54,1567.32,4610.72,14740.43,7847.41,1285.11,28622.83,8440.2,4540.34,6660.81,7001.99,20307.91,8543.52,20528.79,25466.44,1676.67,1123.87,826.59,1592.75,9018.07,5049.34,17802.12,918.57,24328.46,0,1814.61,32996.57,5256.19,13246.62,9199.45,504.98
2013-14,26254.78,2050.23,5206.59,17927.94,6582.37,1346.22,29462.03,7041.55,3918.7,4850.93,6632.35,21459.13,8884.39,19894.4,31927.4,1454.09,1259.42,718.95,1476.81,10513.17,6015.7,18591.49,1011.08,24367.71,0,1876.42,42573.18,5306.82,16716.12,11685.08,567.59
2014-15 (RE),12758.83,2959.71,12550.78,31932,9313.92,2177.45,32892.36,8853.34,4449.58,11420.62,10766.22,24087.82,9095.4,25139.97,33255.32,2187.54,1990.39,1254.71,1635.84,15854.91,7448.21,24923.69,1820.85,24698.71,20148.21,4096.38,70712.59,7103.32,22819.48,8752.22,862.77
2015-16 (BE),14624.21,3410.48,12039.32,29477.21,12080.89,3573.75,35532.05,9805.18,4850.93,11205.44,12149.71,25084.75,14018.62,27137.15,38038.19,1687.33,1961.77,1485.24,1920.58,18648.78,9190.66,26908.54,1267.22,35041.23,21458.98,5823.37,76931.14,6154.31,25273.78,10726.91,832.67
